training_size,accuracy,elapsed_time
100,0.702,0.08220481872558594
200,0.791,0.15101122856140137
300,0.807,0.2485942840576172
400,0.811,0.30799031257629395
500,0.837,0.45358896255493164
600,0.853,0.5116424560546875
700,0.855,0.564176082611084
800,0.866,0.6280107498168945
900,0.874,0.6927545070648193
1000,0.884,0.9354069232940674
1100,0.888,0.9988648891448975
1200,0.893,1.0599234104156494
1300,0.894,1.1165714263916016
1400,0.902,1.1856729984283447
1500,0.902,1.2457349300384521
1600,0.905,1.3067512512207031
1700,0.904,1.364123821258545
1800,0.91,1.426652193069458
1900,0.91,1.4861135482788086
2000,0.912,1.8942675590515137
2100,0.912,1.9754836559295654
2200,0.912,2.0336949825286865
2300,0.916,2.1003570556640625
2400,0.921,2.157301425933838
2500,0.921,2.3321104049682617
2600,0.925,2.2763478755950928
2700,0.925,2.333132028579712
2800,0.929,2.3928720951080322
2900,0.929,2.459033489227295
3000,0.927,2.5299432277679443
3100,0.926,2.588080644607544
3200,0.927,2.6368160247802734
3300,0.929,2.6950180530548096
3400,0.931,2.7843875885009766
3500,0.931,2.811066150665283
3600,0.929,2.8755202293395996
3700,0.93,2.9095704555511475
3800,0.931,2.953611373901367
3900,0.932,3.7189271450042725
4000,0.932,3.77050518989563
4100,0.93,3.834458827972412
4200,0.933,3.899301290512085
4300,0.93,3.950955867767334
4400,0.929,4.019042491912842
4500,0.928,4.0631585121154785
4600,0.933,4.121731281280518
4700,0.932,4.18261194229126
4800,0.931,4.243306636810303
4900,0.931,4.298954248428345
5000,0.929,4.367915630340576
5100,0.929,4.415374279022217
5200,0.932,4.47140645980835
5300,0.933,4.5234694480896
5400,0.934,4.578896760940552
5500,0.935,4.647375822067261
5600,0.936,4.705807209014893
5700,0.937,4.7712626457214355
5800,0.937,4.822469472885132
5900,0.938,4.882573127746582
6000,0.939,4.950521230697632
6100,0.939,4.9959094524383545
6200,0.938,5.062115430831909
6300,0.939,5.125887632369995
6400,0.939,5.175272464752197
6500,0.937,5.238972902297974
6600,0.938,5.291687488555908
6700,0.939,5.356387138366699
6800,0.94,5.412867307662964
6900,0.939,5.504725694656372
7000,0.939,5.643783330917358
7100,0.94,5.666489839553833
7200,0.94,5.726508617401123
7300,0.939,5.781101226806641
7400,0.94,5.850346803665161
7500,0.94,5.882800817489624
7600,0.938,5.9759931564331055
7700,0.937,7.45632529258728
7800,0.937,7.503206014633179
7900,0.938,7.573548793792725
8000,0.939,7.625004291534424
8100,0.94,7.73010778427124
8200,0.944,7.746443271636963
8300,0.944,7.796952247619629
8400,0.944,7.8568572998046875
8500,0.944,7.917324542999268
8600,0.943,7.979948282241821
8700,0.943,8.041017055511475
8800,0.943,8.100116729736328
8900,0.943,8.154139995574951
9000,0.944,8.206455945968628
9100,0.946,8.270209074020386
9200,0.946,8.324521780014038
9300,0.945,8.380740880966187
9400,0.947,8.452428817749023
9500,0.948,8.518661260604858
9600,0.948,8.588664531707764
9700,0.948,8.627763509750366
9800,0.949,8.669774055480957
9900,0.948,8.825886726379395
10000,0.949,8.826239824295044
10100,0.948,8.894110441207886
10200,0.948,8.964259386062622
10300,0.948,9.018999576568604
10400,0.948,9.076869010925293
10500,0.948,9.106061220169067
10600,0.948,9.193709373474121
10700,0.948,9.246376991271973
10800,0.948,9.28662371635437
10900,0.948,9.361546754837036
11000,0.948,9.428159475326538
11100,0.948,9.494159936904907
11200,0.948,9.63743782043457
11300,0.948,9.565232515335083
11400,0.948,9.602478504180908
11500,0.948,9.651576042175293
11600,0.948,9.708667516708374
11700,0.949,9.788068056106567
11800,0.949,9.839469194412231
11900,0.949,9.895592212677002
12000,0.949,9.943256616592407
12100,0.949,10.034414529800415
12200,0.949,10.058807611465454
12300,0.949,10.123779773712158
12400,0.95,10.181788444519043
12500,0.951,10.258898735046387
12600,0.951,10.288955926895142
12700,0.951,10.377702236175537
12800,0.952,10.436398983001709
12900,0.953,10.480698347091675
13000,0.953,10.541981220245361
13100,0.952,10.604939699172974
13200,0.952,10.660472393035889
13300,0.952,10.721645832061768
13400,0.951,10.769240379333496
13500,0.951,10.835736989974976
13600,0.951,10.922162055969238
13700,0.951,10.964442253112793
13800,0.951,11.02796483039856
13900,0.952,11.161415815353394
14000,0.954,11.236613512039185
14100,0.954,11.302053451538086
14200,0.953,11.3308265209198
14300,0.953,11.399727582931519
14400,0.953,11.444322347640991
14500,0.952,11.436957120895386
14600,0.951,11.488588809967041
14700,0.951,11.526092529296875
14800,0.952,11.604934930801392
14900,0.952,11.658695697784424
15000,0.951,11.731745481491089
15100,0.951,11.793661117553711
15200,0.951,11.88192105293274
15300,0.95,11.91902232170105
15400,0.95,14.813650608062744
15500,0.949,14.878257751464844
15600,0.949,14.942641973495483
15700,0.949,14.998191595077515
15800,0.95,15.059514045715332
15900,0.951,15.100843906402588
16000,0.951,15.169424772262573
16100,0.952,15.231883525848389
16200,0.952,15.292712450027466
16300,0.953,15.375436305999756
16400,0.953,15.418273210525513
16500,0.953,15.476442575454712
16600,0.953,15.528948068618774
16700,0.953,15.587929248809814
16800,0.953,15.63530969619751
16900,0.952,15.692101001739502
17000,0.952,15.795042276382446
17100,0.952,15.947675943374634
